LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
x11-UBC 9014_0,Bemidji,scf,soil CO2 efflux collar,,,342796.01,5271047.95,1.0,12.47,431.92,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC 9017_0,Bemidji,scf,soil CO2 efflux collar,,,342764.32,5271031.88,1.0,-23.01,430.22,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x11-UBC BG_L,Bemidji,scf,soil CO2 efflux collar,,,342746.29,5271051.79,,,430.38,0.0,20110613,Assumed date based on N. Sihota's visit,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
x1215,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342805.61,5271047.94,1.0,21.24,432.53,0.0,20120618,,USGS MN Water Science Center,J. Greene; B. Mason,to measure self-potential,vertical array of electrodes,"Installed geoelectrode string in this hole with USGS rig.  Drilling notes recorded by J. Heenan, L. Slater, D. Ntarrgliannis",Located near geophysics well C1010
x1216,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342832.83,5271164.66,,,431.62,0.0,20120619,,USGS MN Water Science Center,J. Greene; B. Mason,to measure self-potential,vertical array of electrodes,"Installed geoelectrode string in this hole with USGS rig.  Drilling notes recorded by J. Heenan, L. Slater, D. Ntarrgliannis",Located near geophysics well C1006
x1302G.station,Bemidji,idb,infrastructure-data logging station box,,,342761.45,5271035.32,1.0,-24.24,430.026,0.0,20130523,,USGS MN Water Science Center,J. Trost; A. Berg,,Physical location of 1302G shelter and datalogger equipment.,Physical location of 1302G shelter and datalogger equipment.,Near 1302G and 9017G. Physical location of 1302G shelter and datalogger equipment.
x1304,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342832.43,5271164.18,,,431.62,0.0,20130716,,USGS MN Water Science Center,J. Greene; B. Mason,to measure geophysical properties,geophysics electrode array,,Located near geophysics array: C1006
x1305,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342825.31,5271054.3,1.0,41.83,432.774,0.0,20130716,C1305-1 through C1305-15 were completed 7/16/13; Core C1305-16 and geophysics electrode array installations were completed 7/17/13,USGS MN Water Science Center,J. Julik (MPCA); J. Greene; B. Mason,to measure geophysical properties,geophysics electrode array,,Located near 532 well nest
x1307,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,342763.45,5271034.21,1.0,-22.86,430.047,0.0,20130717,Cores C1307-1 through C1307-8 were completed on 7/17/13; hole left open and drilled out by MN hollow stem auger rig on 7/19/13 to install soil moisture probes.,USGS MN Water Science Center,J. Julik (MPCA); B. Mason; J. Trost,continuous measurements of soil moisture and temperature,vertical sensor array: campbell TDR sensors,"vertical array of 7 soil moisture probes, Campbell CS650 or 655 probes",Located near 9017 well nest
x1308,Bemidji,ge,vertical geophyscial electrode array for measuring self-potential or electrical resistivity,,,342806.33,5271048.61,1.0,22.17,432.569,0.0,20130717,,USGS MN Water Science Center,J. Julik (MPCA); J. Greene; B. Mason,to measure geophysical properties,geophysics electrode array,,Located near geophysics array: C1215
x1323,Bemidji,wf,failed well installation (or any installation),,,342763.2,5271033.84,1.0,-23.24,430.095,0.0,20130523,,USGS MN Water Science Center,J. Greene; B. Mason,,,,Near 1302G and 9017G; Intended for the Campbell soil moisture probes near 1302G.  Required open borehole to 16 ft below land surface but hole collapsed at 10-12 ft.  Failed installation attempt.
x1401,Bemidji,tsmt,"soil sensor array (soil moisture,temperature,gas, or other probes)",,,342810.39,5271046.71,1.0,25.12,432.754,0.0,20140513,,USGS MN Water Science Center,B. Mason; A. Berg,continuous measurements of soil moisture and temperature,vertical sensor array: campbell TDR sensors,"Excavated larger area to the east of the borehole to get a better angle during shallow probe installation. All probes are facing west. Used bentonite hole plug over the borehole & excav. area 0.5-1.0 ft. below land surface, the rest was native fill.",Near well 534 nest
x1407,Bemidji,gec,unscreened geophysics 2'' PVC casing for measuring magnetic susceptibility,,,342807.08,5271047.54,,,432.614,0.994,20140723,Construction began 07/23/2014; ended 07/25/2014,USGS MN Water Science Center,J. Rauman; B. Mason; A. Berg,Investigating the sensitivity of magnetic susceptibility measurements to natural attenuation of crude oil and/or determination of the active members of the microbial communities within zones of altered geophysical signatures at the Bemidji site.,2-inch PVC casing with no screen for geophysics measurements,"Top of floating oil is 27.5 ft. below land surface. Cored with WI Geoprobe from 0-25.5 ft. BLS. Cored with MN Rig from 25.5-32.5 ft. BLS.  Installed 2-inch diameter PVC flush-threaded casing, with no open interval/screen. No bentonite used in this hole.",Located near geophysics array: C1110
x1408,Bemidji,gec,unscreened geophysics 2'' PVC casing for measuring magnetic susceptibility,,,342960.81,5271121.44,,,433.778,1.146,20140723,Construction began 07/23/2014; ended 07/24/2014,USGS MN Water Science Center,J. Rauman; B. Mason; A. Berg,Investigating the sensitivity of magnetic susceptibility measurements to natural attenuation of crude oil and/or determination of the active members of the microbial communities within zones of altered geophysical signatures at the Bemidji site.,2-inch PVC casing with no screen for geophysics measurements,"Top of floating oil is 27.5 ft. below land surface. Cored with WI Geoprobe from 0-33.9 ft. BLS. Cored with MN Rig from 33.9-40.9 ft. BLS.  Installed 2-inch diameter PVC flush-threaded casing, with no open interval/screen. No bentonite used in this hole.",Located near 954 well nest.
x1411,Bemidji,gec,unscreened geophysics 2'' PVC casing for measuring magnetic susceptibility,,,342890.03,5271082.7,,,433.243,1.027,20140723,Construction began 07/23/2014; ended 07/24/2014,USGS MN Water Science Center,J. Rauman; B. Mason; A. Berg,Investigating the sensitivity of magnetic susceptibility measurements to natural attenuation of crude oil and/or determination of the active members of the microbial communities within zones of altered geophysical signatures at the Bemidji site.,2-inch PVC casing with no screen for geophysics measurements,"Water table at well 1101A = 30.39 ft below land surface, from J. Trost yesterday. Cores C1411-1 through C1411-7 were pounded and collected by J. Rauman, and logged by E. Atekwana and C Beaver. Cored with Geoprobe 66DT from 12.5-26.5 ft. BLS. Cored with MN hollow stem rig from 26.5-36.4 ft below land surface. Installed 2-inch diameter PVC flush-threaded casing, with no open interval/screen. No bentonite used in this hole.",Located near 1101 well nest.
x1415,Bemidji,gec,unscreened geophysics 2'' PVC casing for measuring magnetic susceptibility,,,342860.1,5271067.33,,,433.091,0.994,20140725,,USGS MN Water Science Center,J. Rauman; S. Rossbach; B. Mason; A. Berg,Investigating the sensitivity of magnetic susceptibility measurements to natural attenuation of crude oil and/or determination of the active members of the microbial communities within zones of altered geophysical signatures at the Bemidji site.,2-inch PVC casing with no screen for geophysics measurements,"Water table at well 513 = 29.67 ft. below land surface. Cores C1415-1 through C1415-11 were pounded and collected by J. Rauman, and logged by E. Atekwana and C. Beaver. Cored with Geoprobe 66DT from 6.5-28.5 ft below land surface. Cored with MN hollow stem rig from 28.5-35.5 ft below land surface. Installed 2-inch diameter PVC flush-threaded casing, with no open interval/screen. No bentonite used in this hole. Drilled to 44.0' BLS, then installed PVC casing. Nice core at C1415-12. Good recovery. Puzzling layer ~1.5' layer of extremely dark material. Perhaps irony substance. Cool looking core. Grey color below black layer.",Located near 416 well.
xUnknown SP tensiometer,Bemidji,ts,tensiometer installed in the unsaturated zone,,,342819.44,5270890.9,,,,0.0,,Installation date unknown,USGS MN Water Science Center,Unknown,"Tensiometer installed to monitor soils, but unsure for what project",tensiometer,,in south pool
xWT1501,Bemidji,wt,"water tube, PVC casing filled with water for observing subsurface temperatures",,,342802.97,5271068.23,,,432.425,1.332,20150810,,USGS MN Water Science Center,B. Mason; E. Smith,measuring vertical unsaturated to saturated zone temperature profiles,water tube with temperature loggers,,Located near telephone box near well 918
x15LK.C,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,343119.57,5271132.42,1.0,342.51,422.898,0.0,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,Thermal gradient survey of Unnamed Lake to determine groundwater discharge to lake,galvanized pipe with 3 ibutton temperature sensors installed vertically in lake sediment in 3 cm increments,Mineral soil  starts at 1.4 ft below water surface. Muck is 0.6 ft thick,in Unnamed Lake
x15LK.I,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,343186.92,5271260.33,0.0,,422.846,0.0,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,Thermal gradient survey of Unnamed Lake to determine groundwater discharge to lake,galvanized pipe with 3 ibutton temperature sensors installed vertically in lake sediment in 3 cm increments,Top sensor is 0.2 ft below lake bed. Water depth is 1.1 ft,in Unnamed Lake
xWT1502,Bemidji,wt,"water tube, PVC casing filled with water for observing subsurface temperatures",,,342808.16,5271054.0,,,432.746,1.149,20150811,Started construction on 8/10/15 and finished on 8/11/15,USGS MN Water Science Center,B. Mason; E. Smith,measuring vertical unsaturated to saturated zone temperature profiles,water tube with temperature loggers,,Located near telephone box near well 805
x15LK.Q,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,343174.3,5270895.55,0.0,,422.837,0.0,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,Thermal gradient survey of Unnamed Lake to determine groundwater discharge to lake,galvanized pipe with 3 ibutton temperature sensors installed vertically in lake sediment in 3 cm increments,Top sensor is 0.05 ft below lake bed. Water depth is 0.5 ft,in Unnamed Lake
x15LK.S5,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,343117.87,5271083.42,0.0,,422.864,0.0,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,Thermal gradient survey of Unnamed Lake to determine groundwater discharge to lake,galvanized pipe with 3 ibutton temperature sensors installed vertically in lake sediment in 3 cm increments,Mineral soil starts 1.8 ft below water surface. Top sensor is 0.4 ft below lake bed. Water depth is 1.4 ft.,in Unnamed Lake
x15LK.S6,Bemidji,tp,thermal profiling device for measuring vertical thermal profiles,,,343145.22,5271004.58,0.0,,422.95,0.0,20150617,"thermal profilers installed on this date; water levels taken in October, 2015",USGS MN Water Science Center,J. Trost; B. Mason; E. Coenen,Thermal gradient survey of Unnamed Lake to determine groundwater discharge to lake,galvanized pipe with 3 ibutton temperature sensors installed vertically in lake sediment in 3 cm increments,Mineral soil starts at 1.5 ft below lake surface. Top sensor is 0.3 into lake bed.,in Unnamed Lake
x1979 Rupture Site,Bemidji,rs,1979 pipeline rupture site,,,342733.47,5271025.19,,,,0.0,19790820,Date of pipeline rupture,Not applicable,Unknown,,1979 rupture site on the pipeline,,"Site of the 1979 rupture, estimated from old printed maps"
xWT1503,Bemidji,wt,"water tube, PVC casing filled with water for observing subsurface temperatures",,,342805.1,5271062.33,,,432.556,1.088,20150811,,USGS MN Water Science Center,B. Mason; E. Smith; A. Berg,measuring vertical unsaturated to saturated zone temperature profiles,water tube with temperature loggers,,Located between WT1501 & WT1502
x925 tall pipe 1,Bemidji,unk,unknown installation,,,343022.42,5271142.49,1.0,257.77,432.845,1.0,,Installation date unknown,USGS MN Water Science Center,Unknown,,,,"tall pipes at the 925 well site, stickup length estimated, land surface elevation from well 925B"
x925 tall pipe 2,Bemidji,unk,unknown installation,,,343022.85,5271142.93,1.0,258.34,432.846,1.0,,Installation date unknown,USGS MN Water Science Center,Unknown,,,,"tall pipes at the 925 well site, stickup length estimated, land surface elevation from well 925B"
xA,Bemidji,scf,soil CO2 efflux collar,,,342762.01,5271034.57,1.0,-24.03,430.08,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xA100,Bemidji,scf,soil CO2 efflux collar,,,342788.4,5271040.1,1.0,-2.33,430.84,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xA79,Bemidji,scf,soil CO2 efflux collar,,,342795.32,5271020.37,,,431.0,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xA86,Bemidji,scf,soil CO2 efflux collar,,,342793.02,5271026.99,,,430.61,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xA93,Bemidji,scf,soil CO2 efflux collar,,,342790.64,5271033.48,1.0,-1.7,430.47,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xAbandoned well,Bemidji,unk,unknown installation,,,342784.47,5271039.54,1.0,-1.49,430.896,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,
xB,Bemidji,scf,soil CO2 efflux collar,,,342757.44,5271038.41,,,430.08,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xB100,Bemidji,scf,soil CO2 efflux collar,,,342781.57,5271037.69,1.0,-4.89,430.2,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xB107,Bemidji,scf,soil CO2 efflux collar,,,342779.05,5271044.32,1.0,-4.51,430.6,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xB79,Bemidji,scf,soil CO2 efflux collar,,,342789.2,5271018.22,,,431.11,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xB86,Bemidji,scf,soil CO2 efflux collar,,,342786.83,5271024.9,,,430.71,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xB93,Bemidji,scf,soil CO2 efflux collar,,,342784.54,5271030.94,1.0,-4.91,430.37,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xbeast,Bemidji,b,survey reference benchmark,,,342675.88,5271000.3,1.0,-116.66,430.911,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,
xBM1,Bemidji,b,survey reference benchmark,,,342839.98,5271060.26,1.0,57.66,433.115,0.0,19850501,estimated date,USGS MN Water Science Center,Unknown,,,,North pool transect
xBM2,Bemidji,b,survey reference benchmark,,,342812.3,5271048.21,1.0,27.47,432.865,0.658,19830701,estimated date,USGS MN Water Science Center,Unknown,,,,North pool transect
xBM3,Bemidji,b,survey reference benchmark,,,343012.75,5271138.02,1.0,247.12,433.318,0.363,19910920,,USGS MN Water Science Center,Unknown,,,,Near unnamed lake
xBM4,Bemidji,b,survey reference benchmark,,,343401.85,5270489.97,,,426.315,0.314,19910920,,USGS MN Water Science Center,Unknown,,,,Near lake gage
xBM5,Bemidji,b,survey reference benchmark,,,342804.14,5270865.81,,,425.822,0.381,19910920,,USGS MN Water Science Center,Unknown,,,,South pool
xBM6,Bemidji,b,survey reference benchmark,,,342603.45,5270958.55,1.0,-199.8,433.696,0.311,19910920,,USGS MN Water Science Center,Unknown,,,,Near well 310
xbud,Bemidji,b,survey reference benchmark,,,342934.83,5271105.85,1.0,162.85,434.177,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,
xC,Bemidji,scf,soil CO2 efflux collar,,,342753.85,5271042.47,,,430.19,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xC100,Bemidji,scf,soil CO2 efflux collar,,,342774.81,5271035.94,1.0,-11.78,430.22,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xC107,Bemidji,scf,soil CO2 efflux collar,,,342772.9,5271041.99,1.0,-11.07,430.19,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xC79,Bemidji,scf,soil CO2 efflux collar,,,342782.47,5271015.89,,,431.32,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xC86,Bemidji,scf,soil CO2 efflux collar,,,342779.53,5271022.4,,,430.87,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xC93,Bemidji,scf,soil CO2 efflux collar,,,342777.35,5271028.72,1.0,-12.38,430.43,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD,Bemidji,scf,soil CO2 efflux collar,,,342744.71,5271050.42,,,430.34,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD100,Bemidji,scf,soil CO2 efflux collar,,,342768.25,5271033.38,1.0,-18.81,430.27,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD107,Bemidji,scf,soil CO2 efflux collar,,,342766.24,5271039.64,,,430.14,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD114,Bemidji,scf,soil CO2 efflux collar,,,342763.68,5271046.25,,,430.22,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD79,Bemidji,scf,soil CO2 efflux collar,,,342775.49,5271014.03,,,431.54,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD86,Bemidji,scf,soil CO2 efflux collar,,,342772.8,5271020.12,,,431.08,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xD93,Bemidji,scf,soil CO2 efflux collar,,,342770.57,5271026.46,1.0,-19.49,430.6,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xdiva,Bemidji,b,survey reference benchmark,,,342807.18,5271027.16,,,431.75,0.0,,Installation date unknown,USGS MN Water Science Center,Not applicable,,,,
xE,Bemidji,scf,soil CO2 efflux collar,,,342740.15,5271053.96,,,430.41,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xE100,Bemidji,scf,soil CO2 efflux collar,,,342761.84,5271031.2,1.0,-25.56,430.19,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xE107,Bemidji,scf,soil CO2 efflux collar,,,342759.57,5271037.68,,,430.013,0.0,20130711,,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface","added in 2013 by J. Trost, may not have been measured in 2012",
xE114,Bemidji,scf,soil CO2 efflux collar,,,342757.41,5271044.09,,,430.25,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xE121,Bemidji,scf,soil CO2 efflux collar,,,342755.09,5271050.79,,,430.49,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xE79,Bemidji,scf,soil CO2 efflux collar,,,342768.36,5271011.34,,,432.01,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xE86,Bemidji,scf,soil CO2 efflux collar,,,342766.44,5271017.98,,,431.55,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xE93,Bemidji,scf,soil CO2 efflux collar,,,342763.86,5271024.42,1.0,-26.46,430.92,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF,Bemidji,scf,soil CO2 efflux collar,,,342700.66,5271081.28,,,431.91,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF100,Bemidji,scf,soil CO2 efflux collar,,,342755.58,5271028.99,1.0,-32.17,430.45,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF107,Bemidji,scf,soil CO2 efflux collar,,,342752.88,5271035.21,,,430.0,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF114,Bemidji,scf,soil CO2 efflux collar,,,342750.53,5271041.74,,,430.08,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF121,Bemidji,scf,soil CO2 efflux collar,,,342748.24,5271048.33,,,430.25,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF128,Bemidji,scf,soil CO2 efflux collar,,,342746.34,5271055.01,,,430.58,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF199,Bemidji,scf,soil CO2 efflux collar,,,342618.6,5270947.85,1.0,-190.28,433.21,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF301G,Bemidji,scf,soil CO2 efflux collar,,,342780.28,5271043.47,1.0,-3.73,430.51,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF310G,Bemidji,scf,soil CO2 efflux collar,,,342615.07,5270955.02,1.0,-190.6,433.34,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF514,Bemidji,scf,soil CO2 efflux collar,,,342909.49,5271094.3,1.0,135.0,433.47,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF518G,Bemidji,scf,soil CO2 efflux collar,,,342840.98,5271058.79,1.0,57.98,433.04,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF530G,Bemidji,scf,soil CO2 efflux collar,,,342871.24,5271075.98,1.0,92.61,433.29,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF531G,Bemidji,scf,soil CO2 efflux collar,,,342850.08,5271063.71,1.0,68.29,432.9,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF532G,Bemidji,scf,soil CO2 efflux collar,,,342831.15,5271054.25,1.0,47.15,432.83,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF533G,Bemidji,scf,soil CO2 efflux collar,,,342820.52,5271051.5,1.0,36.32,432.96,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF534G,Bemidji,scf,soil CO2 efflux collar,,,342810.21,5271045.14,1.0,24.31,432.64,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF601G,Bemidji,scf,soil CO2 efflux collar,,,342804.18,5271044.89,1.0,18.7,432.43,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF603G,Bemidji,scf,soil CO2 efflux collar,,,342673.75,5271002.47,1.0,-117.73,430.88,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF604G,Bemidji,scf,soil CO2 efflux collar,,,342752.96,5271029.19,1.0,-34.49,430.49,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF79,Bemidji,scf,soil CO2 efflux collar,,,342762.33,5271008.48,,,432.35,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF86,Bemidji,scf,soil CO2 efflux collar,,,342760.02,5271015.58,,,431.86,0.0,,Installed during 2012 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF9014G,Bemidji,scf,soil CO2 efflux collar,,,342795.43,5271047.89,1.0,11.92,431.89,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF9015G,Bemidji,scf,soil CO2 efflux collar,,,342788.4,5271040.11,1.0,-2.34,430.84,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
xF9016G,Bemidji,scf,soil CO2 efflux collar,,,342773.3,5271035.26,1.0,-13.43,430.26,0.0,,Installed during 2011 Field Session,USGS MN Water Science Center,Not applicable,measure soil CO2 flux,"8-inch diameter, 6-inch tall PVC collar installed at soil surface",,
